time_s,Tj_K,Zth_KW
0.0185,308.2710,0.413550
0.0186,308.2930,0.414650
0.0187,308.3160,0.415800
0.0188,308.3380,0.416900
0.0189,308.3610,0.418050
0.0190,308.3830,0.419150
0.0191,308.4060,0.420300
0.0192,308.4290,0.421450
0.0193,308.4510,0.422550
0.0194,308.4730,0.423650
0.0195,308.4950,0.424750
0.0196,308.5170,0.425850
0.0197,308.5380,0.426900
0.0198,308.5600,0.428000
0.0199,308.5820,0.429100
0.0200,308.6030,0.430150
0.0201,308.6260,0.431300
0.0202,308.6470,0.432350
0.0203,308.6680,0.433400
0.0204,308.6900,0.434500
0.0205,308.7110,0.435550
0.0206,308.7320,0.436600
0.0207,308.7530,0.437650
0.0208,308.7740,0.438700
0.0209,308.7950,0.439750
0.0210,308.8150,0.440750
0.0211,308.8370,0.441850
0.0212,308.8580,0.442900
0.0213,308.8780,0.443900
0.0214,308.8990,0.444950
0.0215,308.9190,0.445950
0.0216,308.9400,0.447000
0.0217,308.9600,0.448000
0.0218,308.9800,0.449000
0.0219,309.0000,0.450000
0.0220,309.0200,0.451000
0.0221,309.0410,0.452050
0.0222,309.0610,0.453050
0.0223,309.0810,0.454050
0.0224,309.1010,0.455050
0.0225,309.1210,0.456050
0.0226,309.1410,0.457050
0.0227,309.1600,0.458000
0.0228,309.1800,0.459000
0.0229,309.1990,0.459950
0.0230,309.2190,0.460950
0.0231,309.2390,0.461950
0.0232,309.2580,0.462900
0.0233,309.2770,0.463850
0.0234,309.2970,0.464850
0.0235,309.3160,0.465800
0.0236,309.3350,0.466750
0.0237,309.3540,0.467700
0.0238,309.3730,0.468650
0.0239,309.3920,0.469600
0.0240,309.4100,0.470500
0.0241,309.4300,0.471500
0.0242,309.4490,0.472450
0.0243,309.4670,0.473350
0.0244,309.4860,0.474300
0.0245,309.5040,0.475200
0.0246,309.5230,0.476150
0.0247,309.5410,0.477050
0.0248,309.5590,0.477950
0.0249,309.5780,0.478900
0.0250,309.5960,0.479800
0.0251,309.6150,0.480750
0.0252,309.6330,0.481650
0.0253,309.6510,0.482550
0.0254,309.6690,0.483450
0.0255,309.6870,0.484350
0.0256,309.7050,0.485250
0.0257,309.7230,0.486150
0.0258,309.7400,0.487000
0.0259,309.7580,0.487900
0.0260,309.7760,0.488800
0.0261,309.7940,0.489700
0.0262,309.8120,0.490600
0.0263,309.8290,0.491450
0.0264,309.8470,0.492350
0.0265,309.8640,0.493200
0.0266,309.8810,0.494050
0.0267,309.8990,0.494950
0.0268,309.9160,0.495800
0.0269,309.9330,0.496650
0.0270,309.9500,0.497500
0.0271,309.9680,0.498400
0.0272,309.9850,0.499250
0.0273,310.0020,0.500100
0.0274,310.0190,0.500950
0.0275,310.0360,0.501800
0.0276,310.0520,0.502600
0.0277,310.0690,0.503450
0.0278,310.0860,0.504300
0.0279,310.1030,0.505150
0.0280,310.1190,0.505950
0.0281,310.1360,0.506800
0.0282,310.1530,0.507650
0.0283,310.1690,0.508450
0.0284,310.1860,0.509300
0.0285,310.2020,0.510100
0.0286,310.2180,0.510900
0.0287,310.2350,0.511750
0.0288,310.2510,0.512550
0.0289,310.2670,0.513350
0.0290,310.2830,0.514150
0.0291,310.3000,0.515000
0.0292,310.3160,0.515800
0.0293,310.3320,0.516600
0.0294,310.3480,0.517400
0.0295,310.3640,0.518200
0.0296,310.3800,0.519000
0.0297,310.3950,0.519750
0.0298,310.4110,0.520550
0.0299,310.4270,0.521350
0.0300,310.4430,0.522150
0.0301,310.4590,0.522950
0.0302,310.4740,0.523700
0.0303,310.4900,0.524500
0.0304,310.5050,0.525250
0.0305,310.5210,0.526050
0.0306,310.5360,0.526800
0.0307,310.5520,0.527600
0.0308,310.5670,0.528350
0.0309,310.5820,0.529100
0.0310,310.5970,0.529850
0.0311,310.6130,0.530650
0.0312,310.6280,0.531400
0.0313,310.6430,0.532150
0.0314,310.6580,0.532900
0.0315,310.6730,0.533650
0.0316,310.6880,0.534400
0.0317,310.7030,0.535150
0.0318,310.7180,0.535900
0.0319,310.7330,0.536650
0.0320,310.7480,0.537400
0.0321,310.7630,0.538150
0.0322,310.7780,0.538900
0.0323,310.7930,0.539650
0.0324,310.8070,0.540350
0.0325,310.8220,0.541100
0.0326,310.8360,0.541800
0.0327,310.8510,0.542550
0.0328,310.8650,0.543250
0.0329,310.8800,0.544000
0.0330,310.8940,0.544700
0.0331,310.9090,0.545450
0.0332,310.9230,0.546150
0.0333,310.9380,0.546900
0.0334,310.9520,0.547600
0.0335,310.9660,0.548300
0.0336,310.9800,0.549000
0.0337,310.9940,0.549700
0.0338,311.0080,0.550400
0.0339,311.0220,0.551100
0.0340,311.0360,0.551800
0.0341,311.0510,0.552550
0.0342,311.0650,0.553250
0.0343,311.0790,0.553950
0.0344,311.0930,0.554650
0.0345,311.1070,0.555350
0.0346,311.1200,0.556000
0.0347,311.1340,0.556700
0.0348,311.1480,0.557400
0.0349,311.1610,0.558050
0.0350,311.1750,0.558750
0.0351,311.1890,0.559450
0.0352,311.2030,0.560150
0.0353,311.2160,0.560800
0.0354,311.2300,0.561500
0.0355,311.2430,0.562150
0.0356,311.2570,0.562850
0.0357,311.2700,0.563500
0.0358,311.2830,0.564150
0.0359,311.2970,0.564850
0.0360,311.3100,0.565500
0.0361,311.3240,0.566200
0.0362,311.3370,0.566850
0.0363,311.3500,0.567500
0.0364,311.3630,0.568150
0.0365,311.3760,0.568800
0.0366,311.3890,0.569450
0.0367,311.4020,0.570100
0.0368,311.4150,0.570750
0.0369,311.4280,0.571400
0.0370,311.4410,0.572050
0.0371,311.4550,0.572750
0.0372,311.4670,0.573350
0.0373,311.4800,0.574000
0.0374,311.4930,0.574650
0.0375,311.5060,0.575300
0.0376,311.5180,0.575900
0.0377,311.5310,0.576550
0.0378,311.5440,0.577200
0.0379,311.5560,0.577800
0.0380,311.5690,0.578450
0.0381,311.5820,0.579100
0.0382,311.5950,0.579750
0.0383,311.6070,0.580350
0.0384,311.6200,0.581000
0.0385,311.6320,0.581600
0.0386,311.6440,0.582200
0.0387,311.6570,0.582850
0.0388,311.6690,0.583450
0.0389,311.6810,0.584050
0.0390,311.6940,0.584700
0.0391,311.7060,0.585300
0.0392,311.7190,0.585950
0.0393,311.7310,0.586550
0.0394,311.7430,0.587150
0.0395,311.7550,0.587750
0.0396,311.7670,0.588350
0.0397,311.7790,0.588950
0.0398,311.7910,0.589550
0.0399,311.8030,0.590150
0.0400,311.8150,0.590750
0.0401,311.8280,0.591400
0.0402,311.8390,0.591950
0.0403,311.8510,0.592550
0.0404,311.8630,0.593150
0.0405,311.8750,0.593750
0.0406,311.8870,0.594350
0.0407,311.8980,0.594900
0.0408,311.9100,0.595500
0.0409,311.9220,0.596100
0.0410,311.9340,0.596700
0.0411,311.9460,0.597300
0.0412,311.9570,0.597850
0.0413,311.9690,0.598450
0.0414,311.9800,0.599000
0.0415,311.9920,0.599600
0.0416,312.0030,0.600150
0.0417,312.0150,0.600750
0.0418,312.0260,0.601300
0.0419,312.0380,0.601900
0.0420,312.0490,0.602450
0.0421,312.0610,0.603050
0.0422,312.0720,0.603600
0.0423,312.0830,0.604150
0.0424,312.0950,0.604750
0.0425,312.1060,0.605300
0.0426,312.1170,0.605850
0.0427,312.1280,0.606400
0.0428,312.1390,0.606950
0.0429,312.1510,0.607550
0.0430,312.1620,0.608100
0.0431,312.1730,0.608650
0.0432,312.1840,0.609200
0.0433,312.1950,0.609750
0.0434,312.2060,0.610300
0.0435,312.2170,0.610850
0.0436,312.2280,0.611400
0.0437,312.2390,0.611950
0.0438,312.2500,0.612500
0.0439,312.2610,0.613050
0.0440,312.2720,0.613600
0.0441,312.2830,0.614150
0.0442,312.2940,0.614700
0.0443,312.3040,0.615200
0.0444,312.3150,0.615750
0.0445,312.3260,0.616300
0.0446,312.3360,0.616800
0.0447,312.3470,0.617350
0.0448,312.3580,0.617900
0.0449,312.3680,0.618400
0.0450,312.3790,0.618950
0.0451,312.3900,0.619500
0.0452,312.4000,0.620000
0.0453,312.4110,0.620550
0.0454,312.4210,0.621050
0.0455,312.4320,0.621600
0.0456,312.4420,0.622100
0.0457,312.4530,0.622650
0.0458,312.4630,0.623150
0.0459,312.4730,0.623650
0.0460,312.4840,0.624200
0.0461,312.4940,0.624700
0.0462,312.5050,0.625250
0.0463,312.5150,0.625750
0.0464,312.5250,0.626250
0.0465,312.5350,0.626750
0.0466,312.5450,0.627250
0.0467,312.5560,0.627800
0.0468,312.5660,0.628300
0.0469,312.5760,0.628800
0.0470,312.5860,0.629300
0.0471,312.5960,0.629800
0.0472,312.6060,0.630300
0.0473,312.6160,0.630800
0.0474,312.6260,0.631300
0.0475,312.6360,0.631800
0.0476,312.6460,0.632300
0.0477,312.6560,0.632800
0.0478,312.6660,0.633300
0.0479,312.6760,0.633800
0.0480,312.6860,0.634300
0.0481,312.6960,0.634800
0.0482,312.7060,0.635300
0.0483,312.7150,0.635750
0.0484,312.7250,0.636250
0.0485,312.7350,0.636750
0.0486,312.7450,0.637250
0.0487,312.7540,0.637700
0.0488,312.7640,0.638200
0.0489,312.7740,0.638700
0.0490,312.7830,0.639150
0.0491,312.7930,0.639650
0.0492,312.8030,0.640150
0.0493,312.8120,0.640600
0.0494,312.8220,0.641100
0.0495,312.8310,0.641550
0.0496,312.8410,0.642050
0.0497,312.8500,0.642500
0.0498,312.8600,0.643000
0.0499,312.8690,0.643450
0.0500,312.8780,0.643900
0.0501,312.8880,0.644400
0.0502,312.8980,0.644900
0.0503,312.9070,0.645350
0.0504,312.9160,0.645800
0.0505,312.9250,0.646250
0.0506,312.9350,0.646750
0.0507,312.9440,0.647200
0.0508,312.9530,0.647650
0.0509,312.9620,0.648100
0.0510,312.9710,0.648550
0.0511,312.9810,0.649050
0.0512,312.9900,0.649500
0.0513,312.9990,0.649950
0.0514,313.0080,0.650400
0.0515,313.0170,0.650850
0.0516,313.0260,0.651300
0.0517,313.0350,0.651750
0.0518,313.0440,0.652200
0.0519,313.0530,0.652650
0.0520,313.0620,0.653100
0.0521,313.0720,0.653600
0.0522,313.0810,0.654050
0.0523,313.0900,0.654500
0.0524,313.0980,0.654900
0.0525,313.1070,0.655350
0.0526,313.1160,0.655800
0.0527,313.1250,0.656250
0.0528,313.1340,0.656700
0.0529,313.1430,0.657150
0.0530,313.1510,0.657550
0.0531,313.1600,0.658000
0.0532,313.1690,0.658450
0.0533,313.1780,0.658900
0.0534,313.1870,0.659350
0.0535,313.1950,0.659750
0.0536,313.2040,0.660200
0.0537,313.2120,0.660600
0.0538,313.2210,0.661050
0.0539,313.2300,0.661500
0.0540,313.2380,0.661900
0.0541,313.2470,0.662350
0.0542,313.2560,0.662800
0.0543,313.2640,0.663200
0.0544,313.2730,0.663650
0.0545,313.2810,0.664050
0.0546,313.2900,0.664500
0.0547,313.2980,0.664900
0.0548,313.3060,0.665300
0.0549,313.3150,0.665750
0.0550,313.3230,0.666150
0.0551,313.3320,0.666600
0.0552,313.3400,0.667000
0.0553,313.3490,0.667450
0.0554,313.3570,0.667850
0.0555,313.3650,0.668250
0.0556,313.3730,0.668650
0.0557,313.3820,0.669100
0.0558,313.3900,0.669500
0.0559,313.3980,0.669900
0.0560,313.4060,0.670300
0.0561,313.4150,0.670750
0.0562,313.4230,0.671150
0.0563,313.4310,0.671550
0.0564,313.4390,0.671950
0.0565,313.4470,0.672350
0.0566,313.4550,0.672750
0.0567,313.4640,0.673200
0.0568,313.4720,0.673600
0.0569,313.4800,0.674000
0.0570,313.4880,0.674400
0.0571,313.4960,0.674800
0.0572,313.5040,0.675200
0.0573,313.5120,0.675600
0.0574,313.5200,0.676000
0.0575,313.5280,0.676400
0.0576,313.5360,0.676800
0.0577,313.5440,0.677200
0.0578,313.5510,0.677550
0.0579,313.5590,0.677950
0.0580,313.5670,0.678350
0.0581,313.5750,0.678750
0.0582,313.5830,0.679150
0.0583,313.5910,0.679550
0.0584,313.5990,0.679950
0.0585,313.6060,0.680300
0.0586,313.6140,0.680700
0.0587,313.6220,0.681100
0.0588,313.6300,0.681500
0.0589,313.6370,0.681850
0.0590,313.6450,0.682250
0.0591,313.6530,0.682650
0.0592,313.6610,0.683050
0.0593,313.6680,0.683400
0.0594,313.6760,0.683800
