time_s,Tj_K,Zth_KW
0.0185,306.4420,0.322100
0.0186,306.4530,0.322650
0.0187,306.4630,0.323150
0.0188,306.4720,0.323600
0.0189,306.4820,0.324100
0.0190,306.4920,0.324600
0.0191,306.5020,0.325100
0.0192,306.5120,0.325600
0.0193,306.5220,0.326100
0.0194,306.5310,0.326550
0.0195,306.5410,0.327050
0.0196,306.5500,0.327500
0.0197,306.5590,0.327950
0.0198,306.5690,0.328450
0.0199,306.5780,0.328900
0.0200,306.5870,0.329350
0.0201,306.5960,0.329800
0.0202,306.6050,0.330250
0.0203,306.6140,0.330700
0.0204,306.6230,0.331150
0.0205,306.6320,0.331600
0.0206,306.6410,0.332050
0.0207,306.6500,0.332500
0.0208,306.6580,0.332900
0.0209,306.6670,0.333350
0.0210,306.6760,0.333800
0.0211,306.6840,0.334200
0.0212,306.6930,0.334650
0.0213,306.7010,0.335050
0.0214,306.7100,0.335500
0.0215,306.7180,0.335900
0.0216,306.7260,0.336300
0.0217,306.7340,0.336700
0.0218,306.7430,0.337150
0.0219,306.7510,0.337550
0.0220,306.7590,0.337950
0.0221,306.7670,0.338350
0.0222,306.7750,0.338750
0.0223,306.7830,0.339150
0.0224,306.7910,0.339550
0.0225,306.7990,0.339950
0.0226,306.8060,0.340300
0.0227,306.8140,0.340700
0.0228,306.8220,0.341100
0.0229,306.8290,0.341450
0.0230,306.8370,0.341850
0.0231,306.8450,0.342250
0.0232,306.8520,0.342600
0.0233,306.8600,0.343000
0.0234,306.8670,0.343350
0.0235,306.8740,0.343700
0.0236,306.8820,0.344100
0.0237,306.8890,0.344450
0.0238,306.8960,0.344800
0.0239,306.9030,0.345150
0.0240,306.9100,0.345500
0.0241,306.9180,0.345900
0.0242,306.9250,0.346250
0.0243,306.9320,0.346600
0.0244,306.9390,0.346950
0.0245,306.9460,0.347300
0.0246,306.9530,0.347650
0.0247,306.9590,0.347950
0.0248,306.9660,0.348300
0.0249,306.9730,0.348650
0.0250,306.9800,0.349000
0.0251,306.9870,0.349350
0.0252,306.9930,0.349650
0.0253,307.0000,0.350000
0.0254,307.0070,0.350350
0.0255,307.0130,0.350650
0.0256,307.0200,0.351000
0.0257,307.0260,0.351300
0.0258,307.0320,0.351600
0.0259,307.0390,0.351950
0.0260,307.0450,0.352250
0.0261,307.0520,0.352600
0.0262,307.0580,0.352900
0.0263,307.0640,0.353200
0.0264,307.0710,0.353550
0.0265,307.0770,0.353850
0.0266,307.0830,0.354150
0.0267,307.0890,0.354450
0.0268,307.0950,0.354750
0.0269,307.1010,0.355050
0.0270,307.1070,0.355350
0.0271,307.1130,0.355650
0.0272,307.1190,0.355950
0.0273,307.1250,0.356250
0.0274,307.1310,0.356550
0.0275,307.1370,0.356850
0.0276,307.1430,0.357150
0.0277,307.1490,0.357450
0.0278,307.1550,0.357750
0.0279,307.1600,0.358000
0.0280,307.1660,0.358300
0.0281,307.1720,0.358600
0.0282,307.1780,0.358900
0.0283,307.1830,0.359150
0.0284,307.1890,0.359450
0.0285,307.1940,0.359700
0.0286,307.2000,0.360000
0.0287,307.2050,0.360250
0.0288,307.2110,0.360550
0.0289,307.2160,0.360800
0.0290,307.2220,0.361100
0.0291,307.2270,0.361350
0.0292,307.2330,0.361650
0.0293,307.2380,0.361900
0.0294,307.2430,0.362150
0.0295,307.2490,0.362450
0.0296,307.2540,0.362700
0.0297,307.2590,0.362950
0.0298,307.2640,0.363200
0.0299,307.2700,0.363500
0.0300,307.2750,0.363750
0.0301,307.2800,0.364000
0.0302,307.2850,0.364250
0.0303,307.2900,0.364500
0.0304,307.2950,0.364750
0.0305,307.3000,0.365000
0.0306,307.3060,0.365300
0.0307,307.3110,0.365550
0.0308,307.3150,0.365750
0.0309,307.3200,0.366000
0.0310,307.3250,0.366250
0.0311,307.3300,0.366500
0.0312,307.3350,0.366750
0.0313,307.3400,0.367000
0.0314,307.3450,0.367250
0.0315,307.3500,0.367500
0.0316,307.3550,0.367750
0.0317,307.3590,0.367950
0.0318,307.3640,0.368200
0.0319,307.3690,0.368450
0.0320,307.3730,0.368650
0.0321,307.3780,0.368900
0.0322,307.3830,0.369150
0.0323,307.3880,0.369400
0.0324,307.3920,0.369600
0.0325,307.3970,0.369850
0.0326,307.4010,0.370050
0.0327,307.4060,0.370300
0.0328,307.4100,0.370500
0.0329,307.4150,0.370750
0.0330,307.4190,0.370950
0.0331,307.4240,0.371200
0.0332,307.4290,0.371450
0.0333,307.4330,0.371650
0.0334,307.4370,0.371850
0.0335,307.4420,0.372100
0.0336,307.4460,0.372300
0.0337,307.4510,0.372550
0.0338,307.4550,0.372750
0.0339,307.4590,0.372950
0.0340,307.4630,0.373150
0.0341,307.4680,0.373400
0.0342,307.4720,0.373600
0.0343,307.4760,0.373800
0.0344,307.4810,0.374050
0.0345,307.4850,0.374250
0.0346,307.4890,0.374450
0.0347,307.4930,0.374650
0.0348,307.4970,0.374850
0.0349,307.5010,0.375050
0.0350,307.5060,0.375300
0.0351,307.5100,0.375500
0.0352,307.5140,0.375700
0.0353,307.5180,0.375900
0.0354,307.5220,0.376100
0.0355,307.5260,0.376300
0.0356,307.5300,0.376500
0.0357,307.5340,0.376700
0.0358,307.5380,0.376900
0.0359,307.5420,0.377100
0.0360,307.5460,0.377300
0.0361,307.5500,0.377500
0.0362,307.5540,0.377700
0.0363,307.5580,0.377900
0.0364,307.5620,0.378100
0.0365,307.5650,0.378250
0.0366,307.5690,0.378450
0.0367,307.5730,0.378650
0.0368,307.5770,0.378850
0.0369,307.5810,0.379050
0.0370,307.5850,0.379250
0.0371,307.5890,0.379450
0.0372,307.5920,0.379600
0.0373,307.5960,0.379800
0.0374,307.6000,0.380000
0.0375,307.6030,0.380150
0.0376,307.6070,0.380350
0.0377,307.6110,0.380550
0.0378,307.6140,0.380700
0.0379,307.6180,0.380900
0.0380,307.6220,0.381100
0.0381,307.6260,0.381300
0.0382,307.6290,0.381450
0.0383,307.6330,0.381650
0.0384,307.6360,0.381800
0.0385,307.6400,0.382000
0.0386,307.6430,0.382150
0.0387,307.6470,0.382350
0.0388,307.6500,0.382500
0.0389,307.6540,0.382700
0.0390,307.6570,0.382850
0.0391,307.6610,0.383050
0.0392,307.6650,0.383250
0.0393,307.6680,0.383400
0.0394,307.6720,0.383600
0.0395,307.6750,0.383750
0.0396,307.6780,0.383900
0.0397,307.6820,0.384100
0.0398,307.6850,0.384250
0.0399,307.6890,0.384450
0.0400,307.6920,0.384600
0.0401,307.6950,0.384750
0.0402,307.6990,0.384950
0.0403,307.7020,0.385100
0.0404,307.7050,0.385250
0.0405,307.7090,0.385450
0.0406,307.7120,0.385600
0.0407,307.7150,0.385750
0.0408,307.7190,0.385950
0.0409,307.7220,0.386100
0.0410,307.7250,0.386250
0.0411,307.7280,0.386400
0.0412,307.7320,0.386600
0.0413,307.7350,0.386750
0.0414,307.7380,0.386900
0.0415,307.7410,0.387050
0.0416,307.7440,0.387200
0.0417,307.7480,0.387400
0.0418,307.7510,0.387550
0.0419,307.7540,0.387700
0.0420,307.7570,0.387850
0.0421,307.7600,0.388000
0.0422,307.7630,0.388150
0.0423,307.7670,0.388350
0.0424,307.7700,0.388500
0.0425,307.7730,0.388650
0.0426,307.7760,0.388800
0.0427,307.7790,0.388950
0.0428,307.7820,0.389100
0.0429,307.7850,0.389250
0.0430,307.7880,0.389400
0.0431,307.7910,0.389550
0.0432,307.7940,0.389700
0.0433,307.7970,0.389850
0.0434,307.8000,0.390000
0.0435,307.8030,0.390150
0.0436,307.8060,0.390300
0.0437,307.8090,0.390450
0.0438,307.8120,0.390600
0.0439,307.8150,0.390750
0.0440,307.8180,0.390900
0.0441,307.8210,0.391050
0.0442,307.8240,0.391200
0.0443,307.8270,0.391350
0.0444,307.8300,0.391500
0.0445,307.8320,0.391600
0.0446,307.8350,0.391750
0.0447,307.8380,0.391900
0.0448,307.8410,0.392050
0.0449,307.8440,0.392200
0.0450,307.8470,0.392350
0.0451,307.8500,0.392500
0.0452,307.8530,0.392650
0.0453,307.8550,0.392750
0.0454,307.8580,0.392900
0.0455,307.8610,0.393050
0.0456,307.8640,0.393200
0.0457,307.8660,0.393300
0.0458,307.8690,0.393450
0.0459,307.8720,0.393600
0.0460,307.8750,0.393750
0.0461,307.8780,0.393900
0.0462,307.8800,0.394000
0.0463,307.8830,0.394150
0.0464,307.8860,0.394300
0.0465,307.8880,0.394400
0.0466,307.8910,0.394550
0.0467,307.8940,0.394700
0.0468,307.8960,0.394800
0.0469,307.8990,0.394950
0.0470,307.9020,0.395100
0.0471,307.9050,0.395250
0.0472,307.9070,0.395350
0.0473,307.9100,0.395500
0.0474,307.9130,0.395650
0.0475,307.9150,0.395750
0.0476,307.9180,0.395900
0.0477,307.9200,0.396000
0.0478,307.9230,0.396150
0.0479,307.9260,0.396300
0.0480,307.9280,0.396400
0.0481,307.9310,0.396550
0.0482,307.9330,0.396650
0.0483,307.9360,0.396800
0.0484,307.9380,0.396900
0.0485,307.9410,0.397050
0.0486,307.9440,0.397200
0.0487,307.9460,0.397300
0.0488,307.9490,0.397450
0.0489,307.9510,0.397550
0.0490,307.9540,0.397700
0.0491,307.9560,0.397800
0.0492,307.9590,0.397950
0.0493,307.9610,0.398050
0.0494,307.9640,0.398200
0.0495,307.9660,0.398300
0.0496,307.9690,0.398450
0.0497,307.9710,0.398550
0.0498,307.9740,0.398700
0.0499,307.9760,0.398800
0.0500,307.9780,0.398900
0.0501,307.9810,0.399050
0.0502,307.9830,0.399150
0.0503,307.9860,0.399300
0.0504,307.9880,0.399400
0.0505,307.9910,0.399550
0.0506,307.9930,0.399650
0.0507,307.9950,0.399750
0.0508,307.9980,0.399900
0.0509,308.0000,0.400000
0.0510,308.0030,0.400150
0.0511,308.0050,0.400250
0.0512,308.0070,0.400350
0.0513,308.0100,0.400500
0.0514,308.0120,0.400600
0.0515,308.0140,0.400700
0.0516,308.0170,0.400850
0.0517,308.0190,0.400950
0.0518,308.0210,0.401050
0.0519,308.0240,0.401200
0.0520,308.0260,0.401300
0.0521,308.0280,0.401400
0.0522,308.0310,0.401550
0.0523,308.0330,0.401650
0.0524,308.0350,0.401750
0.0525,308.0370,0.401850
0.0526,308.0400,0.402000
0.0527,308.0420,0.402100
0.0528,308.0440,0.402200
0.0529,308.0470,0.402350
0.0530,308.0490,0.402450
0.0531,308.0510,0.402550
0.0532,308.0530,0.402650
0.0533,308.0560,0.402800
0.0534,308.0580,0.402900
0.0535,308.0600,0.403000
0.0536,308.0620,0.403100
0.0537,308.0640,0.403200
0.0538,308.0670,0.403350
0.0539,308.0690,0.403450
0.0540,308.0710,0.403550
0.0541,308.0730,0.403650
0.0542,308.0750,0.403750
0.0543,308.0780,0.403900
0.0544,308.0800,0.404000
0.0545,308.0820,0.404100
0.0546,308.0840,0.404200
0.0547,308.0860,0.404300
0.0548,308.0880,0.404400
0.0549,308.0910,0.404550
0.0550,308.0930,0.404650
0.0551,308.0950,0.404750
0.0552,308.0970,0.404850
0.0553,308.0990,0.404950
0.0554,308.1010,0.405050
0.0555,308.1030,0.405150
0.0556,308.1050,0.405250
0.0557,308.1080,0.405400
0.0558,308.1100,0.405500
0.0559,308.1120,0.405600
0.0560,308.1140,0.405700
0.0561,308.1160,0.405800
0.0562,308.1180,0.405900
0.0563,308.1200,0.406000
0.0564,308.1220,0.406100
0.0565,308.1240,0.406200
0.0566,308.1260,0.406300
0.0567,308.1280,0.406400
0.0568,308.1300,0.406500
0.0569,308.1320,0.406600
0.0570,308.1340,0.406700
0.0571,308.1370,0.406850
0.0572,308.1390,0.406950
0.0573,308.1410,0.407050
0.0574,308.1430,0.407150
0.0575,308.1450,0.407250
0.0576,308.1470,0.407350
0.0577,308.1490,0.407450
0.0578,308.1510,0.407550
0.0579,308.1530,0.407650
0.0580,308.1550,0.407750
0.0581,308.1570,0.407850
0.0582,308.1590,0.407950
0.0583,308.1610,0.408050
0.0584,308.1630,0.408150
0.0585,308.1640,0.408200
0.0586,308.1660,0.408300
0.0587,308.1680,0.408400
0.0588,308.1700,0.408500
0.0589,308.1720,0.408600
0.0590,308.1740,0.408700
0.0591,308.1760,0.408800
0.0592,308.1780,0.408900
0.0593,308.1800,0.409000
0.0594,308.1820,0.409100
0.0595,308.1840,0.409200
0.0596,308.1860,0.409300
0.0597,308.1880,0.409400
0.0598,308.1900,0.409500
0.0599,308.1920,0.409600
0.0600,308.1930,0.409650
0.0601,308.1950,0.409750
0.0602,308.1970,0.409850
0.0603,308.1990,0.409950
0.0604,308.2010,0.410050
0.0605,308.2030,0.410150
0.0606,308.2050,0.410250
0.0607,308.2070,0.410350
0.0608,308.2090,0.410450
0.0609,308.2100,0.410500
0.0610,308.2120,0.410600
0.0611,308.2140,0.410700
0.0612,308.2160,0.410800
0.0613,308.2180,0.410900
0.0614,308.2200,0.411000
0.0615,308.2220,0.411100
0.0616,308.2230,0.411150
0.0617,308.2250,0.411250
0.0618,308.2270,0.411350
0.0619,308.2290,0.411450
0.0620,308.2310,0.411550
0.0621,308.2330,0.411650
0.0622,308.2340,0.411700
0.0623,308.2360,0.411800
0.0624,308.2380,0.411900
0.0625,308.2400,0.412000
0.0626,308.2420,0.412100
0.0627,308.2430,0.412150
0.0628,308.2450,0.412250
0.0629,308.2470,0.412350
0.0630,308.2490,0.412450
0.0631,308.2510,0.412550
0.0632,308.2520,0.412600
0.0633,308.2540,0.412700
0.0634,308.2560,0.412800
0.0635,308.2580,0.412900
0.0636,308.2590,0.412950
0.0637,308.2610,0.413050
0.0638,308.2630,0.413150
0.0639,308.2650,0.413250
0.0640,308.2660,0.413300
0.0641,308.2680,0.413400
0.0642,308.2700,0.413500
0.0643,308.2720,0.413600
0.0644,308.2730,0.413650
0.0645,308.2750,0.413750
0.0646,308.2770,0.413850
0.0647,308.2790,0.413950
0.0648,308.2800,0.414000
0.0649,308.2820,0.414100
0.0650,308.2840,0.414200
0.0651,308.2860,0.414300
0.0652,308.2870,0.414350
0.0653,308.2890,0.414450
0.0654,308.2910,0.414550
0.0655,308.2920,0.414600
0.0656,308.2940,0.414700
0.0657,308.2960,0.414800
0.0658,308.2970,0.414850
0.0659,308.2990,0.414950
0.0660,308.3010,0.415050
0.0661,308.3020,0.415100
0.0662,308.3040,0.415200
0.0663,308.3060,0.415300
0.0664,308.3070,0.415350
0.0665,308.3090,0.415450
0.0666,308.3110,0.415550
0.0667,308.3120,0.415600
0.0668,308.3140,0.415700
0.0669,308.3160,0.415800
0.0670,308.3170,0.415850
0.0671,308.3190,0.415950
0.0672,308.3210,0.416050
0.0673,308.3220,0.416100
0.0674,308.3240,0.416200
0.0675,308.3260,0.416300
0.0676,308.3270,0.416350
0.0677,308.3290,0.416450
0.0678,308.3300,0.416500
0.0679,308.3320,0.416600
0.0680,308.3340,0.416700
0.0681,308.3350,0.416750
0.0682,308.3370,0.416850
0.0683,308.3390,0.416950
0.0684,308.3400,0.417000
0.0685,308.3420,0.417100
0.0686,308.3430,0.417150
0.0687,308.3450,0.417250
0.0688,308.3470,0.417350
0.0689,308.3480,0.417400
0.0690,308.3500,0.417500
0.0691,308.3510,0.417550
0.0692,308.3530,0.417650
0.0693,308.3550,0.417750
0.0694,308.3560,0.417800
0.0695,308.3580,0.417900
0.0696,308.3590,0.417950
0.0697,308.3610,0.418050
0.0698,308.3620,0.418100
0.0699,308.3640,0.418200
0.0700,308.3660,0.418300
0.0701,308.3670,0.418350
0.0702,308.3690,0.418450
0.0703,308.3700,0.418500
0.0704,308.3720,0.418600
0.0705,308.3730,0.418650
0.0706,308.3750,0.418750
0.0707,308.3760,0.418800
0.0708,308.3780,0.418900
0.0709,308.3790,0.418950
0.0710,308.3810,0.419050
0.0711,308.3830,0.419150
0.0712,308.3840,0.419200
0.0713,308.3860,0.419300
0.0714,308.3870,0.419350
0.0715,308.3890,0.419450
0.0716,308.3900,0.419500
0.0717,308.3920,0.419600
0.0718,308.3930,0.419650
0.0719,308.3950,0.419750
0.0720,308.3960,0.419800
0.0721,308.3980,0.419900
0.0722,308.3990,0.419950
0.0723,308.4010,0.420050
0.0724,308.4020,0.420100
0.0725,308.4040,0.420200
0.0726,308.4050,0.420250
0.0727,308.4070,0.420350
0.0728,308.4080,0.420400
0.0729,308.4100,0.420500
0.0730,308.4110,0.420550
0.0731,308.4130,0.420650
0.0732,308.4140,0.420700
0.0733,308.4160,0.420800
0.0734,308.4170,0.420850
