time_s,Tj_K,Zth_KW
0.0185,306.1600,0.308000
0.0186,306.1690,0.308450
0.0187,306.1770,0.308850
0.0188,306.1860,0.309300
0.0189,306.1940,0.309700
0.0190,306.2030,0.310150
0.0191,306.2110,0.310550
0.0192,306.2200,0.311000
0.0193,306.2280,0.311400
0.0194,306.2360,0.311800
0.0195,306.2440,0.312200
0.0196,306.2520,0.312600
0.0197,306.2610,0.313050
0.0198,306.2690,0.313450
0.0199,306.2760,0.313800
0.0200,306.2840,0.314200
0.0201,306.2920,0.314600
0.0202,306.3000,0.315000
0.0203,306.3080,0.315400
0.0204,306.3160,0.315800
0.0205,306.3230,0.316150
0.0206,306.3310,0.316550
0.0207,306.3380,0.316900
0.0208,306.3460,0.317300
0.0209,306.3530,0.317650
0.0210,306.3610,0.318050
0.0211,306.3680,0.318400
0.0212,306.3750,0.318750
0.0213,306.3830,0.319150
0.0214,306.3900,0.319500
0.0215,306.3970,0.319850
0.0216,306.4040,0.320200
0.0217,306.4110,0.320550
0.0218,306.4180,0.320900
0.0219,306.4250,0.321250
0.0220,306.4320,0.321600
0.0221,306.4390,0.321950
0.0222,306.4460,0.322300
0.0223,306.4530,0.322650
0.0224,306.4600,0.323000
0.0225,306.4660,0.323300
0.0226,306.4730,0.323650
0.0227,306.4790,0.323950
0.0228,306.4860,0.324300
0.0229,306.4930,0.324650
0.0230,306.4990,0.324950
0.0231,306.5060,0.325300
0.0232,306.5120,0.325600
0.0233,306.5190,0.325950
0.0234,306.5250,0.326250
0.0235,306.5310,0.326550
0.0236,306.5380,0.326900
0.0237,306.5440,0.327200
0.0238,306.5500,0.327500
0.0239,306.5560,0.327800
0.0240,306.5620,0.328100
0.0241,306.5690,0.328450
0.0242,306.5750,0.328750
0.0243,306.5810,0.329050
0.0244,306.5870,0.329350
0.0245,306.5930,0.329650
0.0246,306.5990,0.329950
0.0247,306.6040,0.330200
0.0248,306.6100,0.330500
0.0249,306.6160,0.330800
0.0250,306.6220,0.331100
0.0251,306.6280,0.331400
0.0252,306.6340,0.331700
0.0253,306.6390,0.331950
0.0254,306.6450,0.332250
0.0255,306.6510,0.332550
0.0256,306.6560,0.332800
0.0257,306.6620,0.333100
0.0258,306.6670,0.333350
0.0259,306.6730,0.333650
0.0260,306.6780,0.333900
0.0261,306.6840,0.334200
0.0262,306.6890,0.334450
0.0263,306.6950,0.334750
0.0264,306.7000,0.335000
0.0265,306.7050,0.335250
0.0266,306.7110,0.335550
0.0267,306.7160,0.335800
0.0268,306.7210,0.336050
0.0269,306.7260,0.336300
0.0270,306.7320,0.336600
0.0271,306.7370,0.336850
0.0272,306.7420,0.337100
0.0273,306.7470,0.337350
0.0274,306.7520,0.337600
0.0275,306.7570,0.337850
0.0276,306.7620,0.338100
0.0277,306.7670,0.338350
0.0278,306.7720,0.338600
0.0279,306.7770,0.338850
0.0280,306.7820,0.339100
0.0281,306.7870,0.339350
0.0282,306.7920,0.339600
0.0283,306.7970,0.339850
0.0284,306.8020,0.340100
0.0285,306.8070,0.340350
0.0286,306.8110,0.340550
0.0287,306.8160,0.340800
0.0288,306.8210,0.341050
0.0289,306.8260,0.341300
0.0290,306.8300,0.341500
0.0291,306.8350,0.341750
0.0292,306.8400,0.342000
0.0293,306.8440,0.342200
0.0294,306.8490,0.342450
0.0295,306.8540,0.342700
0.0296,306.8580,0.342900
0.0297,306.8630,0.343150
0.0298,306.8670,0.343350
0.0299,306.8720,0.343600
0.0300,306.8760,0.343800
0.0301,306.8810,0.344050
0.0302,306.8850,0.344250
0.0303,306.8890,0.344450
0.0304,306.8940,0.344700
0.0305,306.8980,0.344900
0.0306,306.9030,0.345150
0.0307,306.9070,0.345350
0.0308,306.9110,0.345550
0.0309,306.9150,0.345750
0.0310,306.9200,0.346000
0.0311,306.9240,0.346200
0.0312,306.9280,0.346400
0.0313,306.9330,0.346650
0.0314,306.9370,0.346850
0.0315,306.9410,0.347050
0.0316,306.9450,0.347250
0.0317,306.9490,0.347450
0.0318,306.9530,0.347650
0.0319,306.9570,0.347850
0.0320,306.9610,0.348050
0.0321,306.9660,0.348300
0.0322,306.9700,0.348500
0.0323,306.9740,0.348700
0.0324,306.9780,0.348900
0.0325,306.9820,0.349100
0.0326,306.9860,0.349300
0.0327,306.9900,0.349500
0.0328,306.9930,0.349650
0.0329,306.9970,0.349850
0.0330,307.0010,0.350050
0.0331,307.0050,0.350250
0.0332,307.0090,0.350450
0.0333,307.0130,0.350650
0.0334,307.0170,0.350850
0.0335,307.0210,0.351050
0.0336,307.0240,0.351200
0.0337,307.0280,0.351400
0.0338,307.0320,0.351600
0.0339,307.0360,0.351800
0.0340,307.0390,0.351950
0.0341,307.0430,0.352150
0.0342,307.0470,0.352350
0.0343,307.0510,0.352550
0.0344,307.0540,0.352700
0.0345,307.0580,0.352900
0.0346,307.0620,0.353100
0.0347,307.0650,0.353250
0.0348,307.0690,0.353450
0.0349,307.0720,0.353600
0.0350,307.0760,0.353800
0.0351,307.0800,0.354000
0.0352,307.0830,0.354150
0.0353,307.0870,0.354350
0.0354,307.0900,0.354500
0.0355,307.0940,0.354700
0.0356,307.0970,0.354850
0.0357,307.1010,0.355050
0.0358,307.1040,0.355200
0.0359,307.1080,0.355400
0.0360,307.1110,0.355550
0.0361,307.1150,0.355750
0.0362,307.1180,0.355900
0.0363,307.1220,0.356100
0.0364,307.1250,0.356250
0.0365,307.1280,0.356400
0.0366,307.1320,0.356600
0.0367,307.1350,0.356750
0.0368,307.1380,0.356900
0.0369,307.1420,0.357100
0.0370,307.1450,0.357250
0.0371,307.1480,0.357400
0.0372,307.1520,0.357600
0.0373,307.1550,0.357750
0.0374,307.1580,0.357900
0.0375,307.1610,0.358050
0.0376,307.1650,0.358250
0.0377,307.1680,0.358400
0.0378,307.1710,0.358550
0.0379,307.1740,0.358700
0.0380,307.1770,0.358850
0.0381,307.1810,0.359050
0.0382,307.1840,0.359200
0.0383,307.1870,0.359350
0.0384,307.1900,0.359500
0.0385,307.1930,0.359650
0.0386,307.1960,0.359800
0.0387,307.2000,0.360000
0.0388,307.2030,0.360150
0.0389,307.2060,0.360300
0.0390,307.2090,0.360450
0.0391,307.2120,0.360600
0.0392,307.2150,0.360750
0.0393,307.2180,0.360900
0.0394,307.2210,0.361050
0.0395,307.2240,0.361200
0.0396,307.2270,0.361350
0.0397,307.2300,0.361500
0.0398,307.2330,0.361650
0.0399,307.2360,0.361800
0.0400,307.2390,0.361950
0.0401,307.2420,0.362100
0.0402,307.2450,0.362250
0.0403,307.2480,0.362400
0.0404,307.2510,0.362550
0.0405,307.2540,0.362700
0.0406,307.2570,0.362850
0.0407,307.2600,0.363000
0.0408,307.2620,0.363100
0.0409,307.2650,0.363250
0.0410,307.2680,0.363400
0.0411,307.2710,0.363550
0.0412,307.2740,0.363700
0.0413,307.2770,0.363850
0.0414,307.2800,0.364000
0.0415,307.2820,0.364100
0.0416,307.2850,0.364250
0.0417,307.2880,0.364400
0.0418,307.2910,0.364550
0.0419,307.2940,0.364700
0.0420,307.2960,0.364800
0.0421,307.2990,0.364950
0.0422,307.3020,0.365100
0.0423,307.3050,0.365250
0.0424,307.3070,0.365350
0.0425,307.3100,0.365500
0.0426,307.3130,0.365650
0.0427,307.3160,0.365800
0.0428,307.3180,0.365900
0.0429,307.3210,0.366050
0.0430,307.3240,0.366200
0.0431,307.3260,0.366300
0.0432,307.3290,0.366450
0.0433,307.3320,0.366600
0.0434,307.3340,0.366700
0.0435,307.3370,0.366850
0.0436,307.3400,0.367000
0.0437,307.3420,0.367100
0.0438,307.3450,0.367250
0.0439,307.3470,0.367350
0.0440,307.3500,0.367500
0.0441,307.3530,0.367650
0.0442,307.3550,0.367750
0.0443,307.3580,0.367900
0.0444,307.3600,0.368000
0.0445,307.3630,0.368150
0.0446,307.3650,0.368250
0.0447,307.3680,0.368400
0.0448,307.3710,0.368550
0.0449,307.3730,0.368650
0.0450,307.3760,0.368800
0.0451,307.3780,0.368900
0.0452,307.3810,0.369050
0.0453,307.3830,0.369150
0.0454,307.3860,0.369300
0.0455,307.3880,0.369400
0.0456,307.3910,0.369550
0.0457,307.3930,0.369650
0.0458,307.3960,0.369800
0.0459,307.3980,0.369900
0.0460,307.4000,0.370000
0.0461,307.4030,0.370150
0.0462,307.4050,0.370250
0.0463,307.4080,0.370400
0.0464,307.4100,0.370500
0.0465,307.4130,0.370650
0.0466,307.4150,0.370750
0.0467,307.4170,0.370850
0.0468,307.4200,0.371000
0.0469,307.4220,0.371100
0.0470,307.4250,0.371250
0.0471,307.4270,0.371350
0.0472,307.4290,0.371450
0.0473,307.4320,0.371600
0.0474,307.4340,0.371700
0.0475,307.4360,0.371800
0.0476,307.4390,0.371950
0.0477,307.4410,0.372050
0.0478,307.4430,0.372150
0.0479,307.4460,0.372300
0.0480,307.4480,0.372400
0.0481,307.4500,0.372500
0.0482,307.4530,0.372650
0.0483,307.4550,0.372750
0.0484,307.4570,0.372850
0.0485,307.4590,0.372950
0.0486,307.4620,0.373100
0.0487,307.4640,0.373200
0.0488,307.4660,0.373300
0.0489,307.4680,0.373400
0.0490,307.4710,0.373550
0.0491,307.4730,0.373650
0.0492,307.4750,0.373750
0.0493,307.4780,0.373900
0.0494,307.4800,0.374000
0.0495,307.4820,0.374100
0.0496,307.4840,0.374200
0.0497,307.4860,0.374300
0.0498,307.4890,0.374450
0.0499,307.4910,0.374550
0.0500,307.4930,0.374650
0.0501,307.4950,0.374750
0.0502,307.4970,0.374850
0.0503,307.5000,0.375000
0.0504,307.5020,0.375100
0.0505,307.5040,0.375200
0.0506,307.5060,0.375300
0.0507,307.5080,0.375400
